Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text
7;Weiterer Kommentar;1;1;1;9999;2015-11-20 00:30;
7;nOrTrOn;2;2;1;1;2015-11-20 00:31;
7;Fabiani2000;3;2;1;1;2015-11-20 00:32;
7;Chlorophyll Dorothea;4;2;1;1;2015-11-20 00:33;
7;Dr.Data;5;3;2;2;2015-11-20 00:34;
7;Ofenkäse;6;2;1;1;2015-11-20 00:35;
7;ChepCon;7;4;5;5;2015-11-20 00:36;
7;Dr.Data;8;3;6;6;2015-11-20 00:37;
7;Dr.Data;9;5;7;7;2015-11-20 00:38;
7;pragmatismforpolitics;10;2;1;1;2015-11-20 00:39;
7;Dr.Data;11;2;1;1;2015-11-20 00:40;
7;ChepCon;12;6;9;9;2015-11-20 00:41;
7;Dardo;13;2;1;1;2015-11-20 00:42;
7;EinLeser69;14;2;1;1;2015-11-20 00:43;
7;Dr.Data;15;7;12;12;2015-11-20 00:44;
7;Allemacher;16;5;7;7;2015-11-20 00:45;
7;Max Maler;17;5;7;7;2015-11-20 00:46;
7;EinLeser69;18;7;12;12;2015-11-20 00:47;
7;Tangenz;19;5;7;7;2015-11-20 00:48;
7;EinLeser69;20;6;16;16;2015-11-20 00:49;
7;CharCorX;21;5;7;7;2015-11-20 00:50;
7;Tangenz;22;7;12;12;2015-11-20 00:51;
7;Harry_Tuttle;23;5;7;7;2015-11-20 00:52;
7;soauchnicht;24;7;20;20;2015-11-20 00:53;
7;ChepCon;25;6;17;17;2015-11-20 00:54;
7;Guenni_1;26;6;9;9;2015-11-20 00:55;
7;janismiteinemn;27;2;1;1;2015-11-20 00:56;
7;ChepCon;28;6;23;23;2015-11-20 00:57;
7;Dr.Data;29;7;26;26;2015-11-20 00:58;
7;Guenni_1;30;8;29;29;2015-11-20 00:59;
7;ChepCon;31;6;21;21;2015-11-20 01:00;
7;Harry_Tuttle;32;7;28;28;2015-11-20 01:01;
7;Luisl;33;6;19;19;2015-11-20 01:02;
7;Dr.Data;34;9;30;30;2015-11-20 01:03;
7;FreidenkerCD;35;2;1;1;2015-11-20 01:04;
7;savoyen2;36;7;12;12;2015-11-20 01:05;
7;Aviator_66;37;4;5;5;2015-11-20 01:06;
7;Dr.Data;38;5;37;37;2015-11-20 01:07;
7;Dr.Data;39;5;37;37;2015-11-20 01:08;
7;Gelber Molch;40;5;7;7;2015-11-20 01:09;
7;Harry_Tuttle;41;8;36;36;2015-11-20 01:10;
7;Gerald Weinbeer;42;5;7;7;2015-11-20 01:11;
7;Aviator_66;43;6;39;39;2015-11-20 01:12;
7;Bavaria Blue;44;7;12;12;2015-11-20 01:13;
7;Kiretep;45;9;41;41;2015-11-20 01:14;
7;Ploync;46;5;7;7;2015-11-20 01:15;
7;Dr.Data;47;7;43;43;2015-11-20 01:16;
7;Gerald Weinbeer;48;6;46;46;2015-11-20 01:17;
7;Dr.Data;49;7;43;43;2015-11-20 01:18;
7;Fabiani2000;50;5;7;7;2015-11-20 01:19;
7;Gelber Molch;51;7;48;48;2015-11-20 01:20;
7;Framue67;52;3;11;11;2015-11-20 01:21;
7;Framue67;53;3;13;13;2015-11-20 01:22;
7;Harry_Tuttle;54;10;45;45;2015-11-20 01:23;
7;Kiretep;55;11;54;54;2015-11-20 01:24;
7;Kiretep;56;11;54;54;2015-11-20 01:25;
7;47_weiblich;57;8;44;44;2015-11-20 01:26;
7;savoyen2;58;9;41;41;2015-11-20 01:27;
7;Membran;59;6;9;9;2015-11-20 01:28;
7;Dr.Data;60;7;59;59;2015-11-20 01:29;
7;Membran;61;8;60;60;2015-11-20 01:30;
7;EhrenamtUNDVerstand;62;1;62;9999;2015-11-20 01:31;
7;alice_42;63;2;62;62;2015-11-20 01:32;
7;EmilSinclair73;64;2;62;62;2015-11-20 01:33;
7;Frei-Geistlicher Demokrat;65;3;64;64;2015-11-20 01:34;
7;Oberwiesel;66;3;64;64;2015-11-20 01:35;
7;EmilSinclair73;67;4;65;65;2015-11-20 01:36;
7;Mohamed-Sharif al Dahoud;68;2;62;62;2015-11-20 01:37;
7;blondie-bei-fuss;69;2;62;62;2015-11-20 01:38;
7;Flügelschuh;70;3;68;68;2015-11-20 01:39;
7;EmilSinclair73;71;3;69;69;2015-11-20 01:40;
7;Matthias_Kraft;72;3;68;68;2015-11-20 01:41;
7;Mohamed-Sharif al Dahoud;73;4;72;72;2015-11-20 01:42;
7;Mohamed-Sharif al Dahoud;74;5;73;73;2015-11-20 01:43;
7;Zentzensierter12;75;4;71;71;2015-11-20 01:44;
7;EmilSinclair73;76;5;75;75;2015-11-20 01:45;
7;E.Mann;77;4;70;70;2015-11-20 01:46;
7;E.Mann;78;5;77;77;2015-11-20 01:47;
7;bavaricus;79;3;68;68;2015-11-20 01:48;
7;Allemacher;80;4;66;66;2015-11-20 01:49;
7;astario;81;2;62;62;2015-11-20 01:50;
7;Gelber Molch;82;2;62;62;2015-11-20 01:51;
7;Verzeiheschreibfehler;83;3;68;68;2015-11-20 01:52;
7;Weiterer Kommentar;84;1;84;9999;2015-11-20 01:53;
7;MünchnerimHimmel;85;2;84;84;2015-11-20 01:54;
7;KlausRetina;86;3;85;85;2015-11-20 01:55;
7;Subcomandante_M;87;3;85;85;2015-11-20 01:56;
7;petuhtante;88;4;87;87;2015-11-20 01:57;
7;Peter Zar;89;2;84;84;2015-11-20 01:58;
7;Subcomandante_M;90;3;89;89;2015-11-20 01:59;
7;MünchnerimHimmel;91;1;91;9999;2015-11-20 02:00;
7;Spieglein Spieglein;92;2;91;91;2015-11-20 02:01;
7;Membran;93;3;92;92;2015-11-20 02:02;
7;alice_42;94;1;94;9999;2015-11-20 02:03;
7;M.Strogow;95;1;95;9999;2015-11-20 02:04;
7;Hühnerbock;96;2;95;95;2015-11-20 02:05;
7;Oderlaender;97;3;96;96;2015-11-20 02:06;
7;Glen Grant;98;1;98;9999;2015-11-20 02:07;
7;Glen Grant;99;3;98;89;2015-11-20 02:08;
7;nOrTrOn;100;3;98;89;2015-11-20 02:09;
7;Der Rächer des öffentlichen Nahverkehrs;101;4;99;99;2015-11-20 02:10;
7;Glen Grant;102;4;100;100;2015-11-20 02:11;
7;Allemvoran;103;5;102;102;2015-11-20 02:12;
7;Dardo;104;5;102;102;2015-11-20 02:13;
7;E.Mann;105;5;102;102;2015-11-20 02:14;
7;Steklo;106;5;101;101;2015-11-20 02:15;
7;Glen Grant;107;6;104;104;2015-11-20 02:16;
7;Glen Grant;108;6;105;105;2015-11-20 02:17;
7;Glen Grant;109;6;103;103;2015-11-20 02:18;
7;Glen Grant;110;5;101;101;2015-11-20 02:19;
7;Snake Eyes;111;5;101;101;2015-11-20 02:20;
7;E.Mann;112;6;110;110;2015-11-20 02:21;
7;Realist_2016;113;5;102;102;2015-11-20 02:22;
7;nOrTrOn;114;5;102;102;2015-11-20 02:23;
7;bina221;115;7;108;108;2015-11-20 02:24;
7;KlausRetina;116;1;116;9999;2015-11-20 02:25;
7;alice_42;117;2;116;116;2015-11-20 02:26;
7;Bpecuchet;118;2;116;116;2015-11-20 02:27;
7;E.Mann;119;2;116;116;2015-11-20 02:28;
7;FrauHuber;120;3;117;117;2015-11-20 02:29;
7;alice_42;121;4;120;120;2015-11-20 02:30;
7;groomgirl;122;1;122;9999;2015-11-20 02:31;
7;Pfanni_on_fire;123;2;122;122;2015-11-20 02:32;
7;vorfahre;124;2;122;122;2015-11-20 02:33;
7;Snake Eyes;125;2;122;122;2015-11-20 02:34;
7;Bpecuchet;126;1;126;9999;2015-11-20 02:35;
7;nOrTrOn;127;2;126;126;2015-11-20 02:36;
7;CharCorX;128;2;126;126;2015-11-20 02:37;
7;ichverstehsnicht;129;2;126;126;2015-11-20 02:38;
7;in a galaxy far far away;130;1;130;9999;2015-11-20 02:39;
7;Merkozy2016;131;2;130;130;2015-11-20 02:40;
7;Queensland_;132;2;130;130;2015-11-20 02:41;
7;ChepCon;133;3;132;132;2015-11-20 02:42;
7;Queensland_;134;4;133;133;2015-11-20 02:43;
7;ChepCon;135;5;134;134;2015-11-20 02:44;
