Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;quality
16;LieschenM;1;1;1;9999;2016-01-04 06:36;14
16;Hedonius;2;1;2;9999;2016-01-04 09:31;7
16;Bannany;3;1;3;9999;2016-01-04 10:10;14
16;Meinungsfreiheit2015;4;1;4;9999;2016-01-04 10:27;21
16;Winterwind;5;1;5;9999;2016-01-04 12:17;14
16;Hedonius;6;2;5;5;2016-01-04 12:17;15
16;Winterwind;7;3;6;6;2016-01-04 12:52;11
16;Hedonius;8;4;7;7;2016-01-04 13:13;18
16;Winterwind;9;5;8;8;2016-01-04 13:55;7
16;Hedonius;10;6;9;9;2016-01-04 15:28;-7
