Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text
14;Michael Muller;1;1;1;9999;2015-11-20 00:30;
14;Tina Rasche;2;1;2;9999;2015-11-20 00:31;
14;Paul Breitner;3;2;2;2;2015-11-20 00:32;
14;Kornelia Mueller;4;2;2;2;2015-11-20 00:33;
14;Christof Kochanowski;5;1;5;9999;2015-11-20 00:34;
14;Sonja Hirsch;6;1;6;9999;2015-11-20 00:35;
14;Paul Breitner;7;2;6;6;2015-11-20 00:36;
14;Brigitte Bücker-Biering;8;1;8;9999;2015-11-20 00:37;
14;Waltraud Netwall;9;1;9;9999;2015-11-20 00:38;
14;Werner Schröder;10;1;10;9999;2015-11-20 00:39;
14;Paul Breitner;11;2;10;10;2015-11-20 00:40;
14;Ulrich Loose;12;1;12;9999;2015-11-20 00:41;
14;Bernard Krause;13;1;13;9999;2015-11-20 00:42;
14;Rainer Ebhardt;14;1;14;9999;2015-11-20 00:43;
14;Anita Bauer;15;1;15;9999;2015-11-20 00:44;
14;Marianne Wienke;16;1;16;9999;2015-11-20 00:45;
14;Peter Glock;17;1;17;9999;2015-11-20 00:46;
14;Michael Rotter;18;1;18;9999;2015-11-20 00:47;
14;Anonym;19;1;19;9999;2015-11-20 00:48;
14;Waltraud Netwall;20;2;19;19;2015-11-20 00:49;
14;Theophanu Lawking;21;1;21;9999;2015-11-20 00:50;
14;Werner Scholz;2201;1;2201;9999;2015-11-20 00:51;
14;Rolf Roggenkamp;2202;2;2201;2201;2015-11-20 00:52;
14;Brigitte Schröder;2301;1;2301;9999;2015-11-20 00:53;
14;peter franzen;2302;2;2301;2301;2015-11-20 00:54;
14;Gerd Unruh, Prof. Dr.;24;1;24;9999;2015-11-20 00:55;
14;Martin Kaminsky;25;2;24;24;2015-11-20 00:56;
14;Rudolf Czok;2601;1;2601;9999;2015-11-20 00:57;
14;Karl-Heinz Kohl;2602;2;2601;2601;2015-11-20 00:58;
14;Thomas Meyer;2701;1;2701;9999;2015-11-20 00:59;
14;Rolf Roggenkamp;2702;2;2701;2701;2015-11-20 01:00;
14;Andi Müller;28;1;28;9999;2015-11-20 01:01;
14;Paul Breitner;29;2;28;28;2015-11-20 01:02;
14;Rolf Roggenkamp;30;1;30;9999;2015-11-20 01:03;
14;Werner Scholz;31;2;30;30;2015-11-20 01:04;
14;Thomas Schaudt;32;2;30;30;2015-11-20 01:05;
14;Heinz-Josef Kaiser;33;2;30;30;2015-11-20 01:06;
14;Mario Derre;34;1;34;9999;2015-11-20 01:07;
14;Dieter Hamacher;35;1;35;9999;2015-11-20 01:08;
14;Klaus Freundenthaler;36;1;36;9999;2015-11-20 01:09;
14;Ralph Petersen;37;1;37;9999;2015-11-20 01:10;
14;Peetz Stefan;38;1;38;9999;2015-11-20 01:11;
14;Werner Scholz;39;2;38;38;2015-11-20 01:12;
14;Thomas Schaudt;40;2;38;38;2015-11-20 01:13;
14;Mischa Bartsch;41;1;41;9999;2015-11-20 01:14;
14;Tina Rasche;42;2;43;43;2015-11-20 01:15;
14;GABRIELE BLUM;43;2;41;41;2015-11-20 01:16;
14;Klaus Böll;44;1;44;9999;2015-11-20 01:17;
14;Dieter Schmeer;45;1;45;9999;2015-11-20 01:18;
14;Müller Mario;46;1;46;9999;2015-11-20 01:19;
14;Dirk Drosdeck;47;1;47;9999;2015-11-20 01:20;
14;Alfons Herzog;48;1;48;9999;2015-11-20 01:21;
14;markus hermes;49;1;49;9999;2015-11-20 01:22;
14;Oliver Dreher;50;1;50;9999;2015-11-20 01:23;
14;Walter Niller;51;1;51;9999;2015-11-20 01:24;
14;Reinhardt Thomas;52;2;51;51;2015-11-20 01:25;
14;Reinhard Kessler;53;1;53;9999;2015-11-20 01:26;
14;Sandra Schmitt;54;2;53;53;2015-11-20 01:27;
14;Stefan Engelhardt;55;1;55;9999;2015-11-20 01:28;
14;Gerd Fröbe;56;2;55;55;2015-11-20 01:29;
14;Jochen Berliner;57;1;57;9999;2015-11-20 01:30;
14;Uschi Keller;58;2;57;57;2015-11-20 01:31;
14;Peter Zimmermann;59;2;57;57;2015-11-20 01:32;
14;Verena Eckwert;60;1;60;9999;2015-11-20 01:33;
14;Sandra Schmitt;61;2;60;60;2015-11-20 01:34;
14;Waltraud Netwall;62;1;62;9999;2015-11-20 01:35;
14;Karl Klammer;63;1;63;9999;2015-11-20 01:36;
14;Alexis Owtscharov;64;2;63;63;2015-11-20 01:37;
14;Frank Mayerl;65;2;63;63;2015-11-20 01:38;
14;Hans Blanker;66;2;63;63;2015-11-20 01:39;
14;Peter Weber;67;1;67;9999;2015-11-20 01:40;
14;Verena Eckwert;68;2;67;67;2015-11-20 01:41;
14;Sandra Schmitt;69;2;67;67;2015-11-20 01:42;
14;Nikolaus Vogel;70;1;70;9999;2015-11-20 01:43;
14;Stefan Engelhardt;71;2;70;70;2015-11-20 01:44;
14;Klaus Bieselt;72;1;72;9999;2015-11-20 01:45;
14;Jörg Reinke;73;2;72;72;2015-11-20 01:46;
14;Siegfried Steinborn;74;1;74;9999;2015-11-20 01:47;
14;Hendrick Ott;75;1;75;9999;2015-11-20 01:48;
14;Vera Patting;7601;2;75;75;2015-11-20 01:49;
14;Richard Mittelstand;7602;2;75;75;2015-11-20 01:50;
14;Felix Krings;77;1;77;9999;2015-11-20 01:51;
14;Alexis Owtscharov;78;2;77;77;2015-11-20 01:52;
14;Michael Hinz;79;1;79;9999;2015-11-20 01:53;
14;Frank Mayerl;80;2;79;79;2015-11-20 01:54;
14;Alexis Owtscharov;81;2;79;79;2015-11-20 01:55;
14;Thomas Schaudt;82;2;79;79;2015-11-20 01:56;
14;Petra Mohr;83;1;83;9999;2015-11-20 01:57;
14;frieder weber;84;1;84;9999;2015-11-20 01:58;
14;Anonym;85;2;84;84;2015-11-20 01:59;
14;Richard Mittelstand;86;2;84;84;2015-11-20 02:00;
14;Barbara Theuer;87;2;84;84;2015-11-20 02:01;
14;Ralf Buchwitz;88;1;88;9999;2015-11-20 02:02;
14;Werner Driewer;89;1;89;9999;2015-11-20 02:03;
14;Elfriede Burhop;90;1;90;9999;2015-11-20 02:04;
14;Edith Popvic;91;1;91;9999;2015-11-20 02:05;
14;Scialino Elena;92;1;92;9999;2015-11-20 02:06;
14;Michael Rojan;93;1;93;9999;2015-11-20 02:07;
14;Holger Reinhardt;94;1;94;9999;2015-11-20 02:08;
14;Heike Krings;95;1;95;9999;2015-11-20 02:09;
14;Sven Schleich;96;1;96;9999;2015-11-20 02:10;
14;Iris Eckstein;97;1;97;9999;2015-11-20 02:11;
14;Walter Goetze;98;1;98;9999;2015-11-20 02:12;
14;Frank Stollman;99;1;99;9999;2015-11-20 02:13;
14;kalr piotrowski;100;1;100;9999;2015-11-20 02:14;
14;Thorsten Gering;101;1;101;9999;2015-11-20 02:15;
14;Brigitte Müller;102;1;102;9999;2015-11-20 02:16;
14;Uschi Keller;103;1;103;9999;2015-11-20 02:17;
14;karin huertgen;104;1;104;9999;2015-11-20 02:18;
14;Stavros Stuert;105;1;105;9999;2015-11-20 02:19;
14;Waltraud Steinmetz;106;1;106;9999;2015-11-20 02:20;
14;karl heinz samfass;107;1;107;9999;2015-11-20 02:21;
14;Ingrid Michler;108;1;108;9999;2015-11-20 02:22;
