Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text;
31;kasulzke;1;1;1;9999;2016-11-24 08:18;11/24/2016 8:18:00;
31;mamas.duemmster;2;1;2;9999;2016-11-24 08:18;11/24/2016 8:18:00;
31;clausbremen;3;1;3;9999;2016-11-24 08:18;11/24/2016 8:18:00;
31;kant_unbe;4;1;4;9999;2016-11-24 08:27;11/24/2016 8:27:00;
31;wahrsager26;5;1;5;9999;2016-11-24 08:29;11/24/2016 8:29:00;
31;roughneckgermany;6;1;6;9999;2016-11-24 08:36;11/24/2016 8:36:00;
31;neutraldenker;7;2;6;6;2016-11-24 08:36;11/24/2016 8:36:00;
31;SigismundRuestig;8;1;8;9999;2016-11-24 08:40;11/24/2016 8:40:00;
31;nilux;9;1;9;9999;2016-11-24 08:41;11/24/2016 8:41:00;
31;hevopl;10;1;10;9999;2016-11-24 08:41;11/24/2016 8:41:00;
31;thequickeningishappening;11;1;11;9999;2016-11-24 08:46;11/24/2016 8:46:00;
31;Heimatfreund;12;1;12;9999;2016-11-24 08:46;11/24/2016 8:46:00;
31;cave-canem;13;1;13;9999;2016-11-24 08:47;11/24/2016 8:47:00;
31;kopp;14;1;14;9999;2016-11-24 08:50;11/24/2016 8:50:00;
31;konib;15;1;15;9999;2016-11-24 08:51;11/24/2016 8:51:00;
31;gegenpressing;16;2;3;3;2016-11-24 08:18;11/24/2016 8:18:00;
31;Tacitus73;17;1;17;9999;2016-11-24 08:55;11/24/2016 8:55:00;
31;Fragen&Neugier;18;2;3;3;2016-11-24 08:18;11/24/2016 8:18:00;
31;akkzent;19;2;3;3;2016-11-24 08:18;11/24/2016 8:18:00;
31;gegenpressing;20;2;14;14;2016-11-24 08:50;11/24/2016 8:50:00;
31;fatman67;21;2;3;3;2016-11-24 08:18;11/24/2016 8:18:00;
31;nordlys;22;2;1;1;2016-11-24 08:18;11/24/2016 8:18:00;
31;i.dietz;23;2;5;5;2016-11-24 08:29;11/24/2016 8:29:00;
31;lab61;24;2;3;3;2016-11-24 08:18;11/24/2016 8:18:00;
31;Schlumperli;25;2;11;11;2016-11-24 08:46;11/24/2016 8:46:00;
31;nordlys;26;2;15;15;2016-11-24 08:51;11/24/2016 8:51:00;
31;Fragen&Neugier;27;2;1;1;2016-11-24 08:18;11/24/2016 8:18:00;
31;Matyaz;28;1;28;9999;2016-11-24 08:15;11/24/2016 9:15:00;
