Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;quality
30;Zunke;1;1;1;9999;2016-11-24 12:05;7
30;klammer;2;1;2;9999;2016-11-24 12:15;14
30;sowohlalsauch;3;1;3;9999;2016-11-24 12:22;14
30;civis42;4;2;3;3;2016-11-24 12:22;-4
30;W.Kroll;5;1;5;9999;2016-11-24 12:36;7
30;BRCI;6;1;6;9999;2016-11-24 12:54;21
30;LesedieinternationalePresse;7;1;7;9999;2016-11-24 12:59;14
30;civis42;8;2;7;7;2016-11-24 12:59;7
30;ebenrain;9;3;8;8;2016-11-24 13:22;17
30;blattschuss;10;3;8;8;2016-11-24 13:22;10
30;MaxMustermann1;11;1;11;9999;2016-11-24 13:05;14
30;MVG30;12;2;11;11;2016-11-24 13:05;7
30;soldier;13;3;12;12;2016-11-24 13:05;7
30;civis42;14;1;14;9999;2016-11-24 13:20;7
30;ebenrain;15;2;14;14;2016-11-24 13:20;7
30;civis42;16;3;15;15;2016-11-24 13:42;1
30;ebenrain;17;4;16;16;2016-11-24 14:23;14
30;Aldermann;18;1;18;9999;2016-11-24 13:42;7
30;Grosshirnrinde;19;2;18;18;2016-11-24 13:42;3
30;MVG30;20;2;18;18;2016-11-24 13:42;7
30;stefano1;21;1;21;9999;2016-11-24 13:45;7
30;Trumpist2;22;1;22;9999;2016-11-24 13:46;7
30;Reh;23;1;23;9999;2016-11-24 13:48;14
30;serafin;24;1;24;9999;2016-11-24 14:00;7
30;jogiberlin;25;1;25;9999;2016-11-24 14:12;7
30;Bob24;26;2;25;25;2016-11-24 14:12;1
30;MaxMustermann1;27;2;25;25;2016-11-24 14:12;29
30;ebenrain;28;2;25;25;2016-11-24 14:12;7
30;MVG30;29;2;25;25;2016-11-24 14:12;3
30;jan;30;2;25;25;2016-11-24 14:12;22
30;Antonym;31;1;31;9999;2016-11-24 14:19;14
30;Griebnitzsee;32;1;32;9999;2016-11-24 14:20;0
30;frau_elster;33;1;33;9999;2016-11-24 14:25;0
30;ebenrain;34;2;33;33;2016-11-24 14:25;16
30;frau_elster;35;3;34;34;2016-11-24 16:11;10
30;countrylover;36;1;36;9999;2016-11-24 14:27;7
30;Bob24;37;1;37;9999;2016-11-24 14:40;7
30;ebenrain;38;2;37;37;2016-11-24 14:40;1
30;Flutsch15;39;1;39;9999;2016-11-24 15:09;7
30;civis42;40;2;39;39;2016-11-24 15:09;7
30;ebenrain;41;3;40;40;2016-11-24 15:44;1
30;stefano1;42;2;39;39;2016-11-24 15:44;7
30;ebenrain;43;3;42;42;2016-11-24 15:09;3
30;Filip;44;1;44;9999;2016-11-24 15:18;21
30;civis42;45;1;45;9999;2016-11-24 15:32;7
30;base51;46;2;45;45;2016-11-24 15:32;7
30;ebenrain;47;2;45;45;2016-11-24 15:32;7
30;blattschuss;48;2;45;45;2016-11-24 15:32;0
30;civis42;49;3;48;48;2016-11-24 17:16;7
30;blattschuss;50;4;49;49;2016-11-24 19:03;8
30;civis42;51;1;51;9999;2016-11-24 15:40;7
30;1964;52;1;52;9999;2016-11-24 16:42;14
30;cuibono;53;1;53;9999;2016-11-24 18:18;14
30;immer-watt-zu-meckern;54;1;54;9999;2016-11-25 10:21;14
30;Undine;55;1;55;9999;2016-11-25 10:35;21
30;Kaesekuchen;56;1;56;9999;2016-11-25 12:08;14
30;BundE;57;1;57;9999;2016-11-26 13:20;7
