Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;quality
32;roki-68;1;1;1;9999;2016-11-24 15:49;7
32;so_ist_es;2;1;2;9999;2016-11-24 16:11;21
32;MyWay53;3;1;3;9999;2016-11-24 16:56;7
32;RotGruenerMoneyMacher;4;1;4;9999;2016-11-24 17:01;21
32;LangeHeinrich;5;1;5;9999;2016-11-24 17:03;0
32;Schnurzelchen;6;1;6;9999;2016-11-24 17:09;7
32;Kizfonis;7;1;7;9999;2016-11-24 17:11;7
32;DonEsteban;8;1;8;9999;2016-11-24 17:25;7
32;Schnurzelchen;9;2;8;8;2016-11-24 17:25;8
32;arsnova;10;1;10;9999;2016-11-24 18:03;14
32;noname_1;11;1;11;9999;2016-11-24 18:13;0
32;so_ist_es;12;2;8;8;2016-11-24 17:25;0
32;B.Bitter;13;1;13;9999;2016-11-24 18:57;14
32;hgh111149;14;1;14;9999;2016-11-24 20:12;14
32;simronu;15;1;15;9999;2016-11-24 23:20;21
