Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text
11;Jimmy III.;1;1;1;9999;2015-11-20 00:30;
11;atech;2;2;1;1;2015-11-20 00:31;
11;Felix M.;3;2;1;1;2015-11-20 00:32;
11;Jimmy III.;500;3;3;3;2015-11-20 00:56;
11;Ernuwieder1;501;2;1;1;2015-11-20 00:33;
11;aehrenr;5;2;1;1;2015-11-20 00:34;
11;Ernuwieder1;6;2;501;501;2015-11-20 00:35;
11;Dr. Data;7;2;500;500;2015-11-20 00:36;
11;rubikon64;8;2;1;1;2015-11-20 00:37;
11;Jimmy III.;9;2;501;501;2015-11-20 00:38;
11;Strangeways-here-we-come;10;2;1;1;2015-11-20 00:39;
11;Jimmy III.;11;3;10;10;2015-11-20 00:40;
11;rubikon64;12;3;9;9;2015-11-20 00:41;
11;Bernd48;13;2;1;1;2015-11-20 00:42;
11;astario;14;3;9;9;2015-11-20 00:43;
11;aehrenr;15;2;500;500;2015-11-20 00:44;
11;RobinsonCrusoe;16;2;1;1;2015-11-20 00:45;
11;aehrenr;17;4;11;11;2015-11-20 00:46;
11;ddv;18;2;1;1;2015-11-20 00:47;
11;Max Maler;19;2;1;1;2015-11-20 00:48;
11;carmelona;20;4;11;11;2015-11-20 00:49;
11;Jörn Dyck;21;3;5;5;2015-11-20 00:50;
11;Strangeways-here-we-come;22;4;11;11;2015-11-20 00:51;
11;Cherrmann;23;3;10;10;2015-11-20 00:52;
11;Felix aus Kiew;24;2;1;1;2015-11-20 00:53;
11;hörthin;25;2;500;500;2015-11-20 00:54;
11;aehrenr;26;4;21;21;2015-11-20 00:55;
11;EL;27;2;1;1;2015-11-20 00:56;
11;ZynikerAusResignation;28;3;13;13;2015-11-20 00:57;
11;Galapagos 12;29;3;3;3;2015-11-20 00:58;
11;ZynikerAusResignation;30;3;25;25;2015-11-20 00:59;
11;jekyllandhyde;31;2;1;1;2015-11-20 01:00;
11;Meander6;32;3;3;3;2015-11-20 01:01;
11;Jörn Dyck;33;5;26;26;2015-11-20 01:02;
11;Jörn Dyck;34;3;25;25;2015-11-20 01:03;
11;Der Augenzeuge;35;6;33;33;2015-11-20 01:04;
11;ddv;36;4;34;34;2015-11-20 01:05;
11;Johanna Meiermann;37;5;20;20;2015-11-20 01:06;
11;Jörn Dyck;38;7;35;35;2015-11-20 01:07;
11;Brennaman;39;2;1;1;2015-11-20 01:08;
11;Tork;40;3;5;5;2015-11-20 01:09;
11;FrauComments;41;2;501;501;2015-11-20 01:10;
11;Ihremeinung;42;3;9;9;2015-11-20 01:11;
11;Hummingbird;43;2;1;1;2015-11-20 01:12;
11;Bhannah;44;3;2;2;2015-11-20 01:13;
11;Meteorit;45;2;1;1;2015-11-20 01:14;
11;artofmind;46;2;1;1;2015-11-20 01:15;
11;Blaubaer1;47;2;1;1;2015-11-20 01:16;
11;Frisi;48;4;21;21;2015-11-20 01:17;
11;Der Augenzeuge;49;8;38;38;2015-11-20 01:18;
11;Der Augenzeuge;50;9;49;49;2015-11-20 01:19;
11;atech;51;1;51;9999;2015-11-20 01:20;
11;LaPaloma;52;2;51;51;2015-11-20 01:21;
11;Margot Melzer;53;2;51;51;2015-11-20 01:22;
11;RedM;54;2;51;51;2015-11-20 01:23;
11;Bernd48;55;2;51;51;2015-11-20 01:24;
11;carmelona;56;2;51;51;2015-11-20 01:25;
11;Margot Melzer;57;3;54;54;2015-11-20 01:26;
11;Margot Melzer;58;3;56;56;2015-11-20 01:27;
11;RedM;59;4;57;57;2015-11-20 01:28;
11;allahmallachen;60;2;51;51;2015-11-20 01:29;
11;Galapagos 12;61;2;51;51;2015-11-20 01:30;
11;Johanna Meiermann;62;3;60;60;2015-11-20 01:31;
11;allahmallachen;63;3;61;61;2015-11-20 01:32;
11;Frisi;64;3;53;53;2015-11-20 01:23;
11;Verschlafbürger;65;1;65;9999;2015-11-20 01:34;
11;Bernd Debander;66;2;65;65;2015-11-20 01:35;
11;Kastora;67;3;66;66;2015-11-20 01:36;
11;Frisi;68;3;66;66;2015-11-20 01:37;
11;RedM;69;1;69;9999;2015-11-20 01:38;
11;atech;70;2;69;69;2015-11-20 01:39;
11;RedM;71;3;70;70;2015-11-20 01:40;
11;Rote Pille;72;3;70;70;2015-11-20 01:41;
11;intheair;73;3;70;70;2015-11-20 01:42;
11;Demokratie in Gefahr;74;3;70;70;2015-11-20 01:43;
11;BBKUESSCHEN;75;4;71;71;2015-11-20 01:44;
11;BBKUESSCHEN;76;4;72;72;2015-11-20 01:45;
11;Immer Bandsalat;77;4;74;74;2015-11-20 01:46;
11;Rote Pille;78;5;76;76;2015-11-20 01:47;
11;intheair;79;5;76;76;2015-11-20 01:48;
11;Bernd48;80;4;74;74;2015-11-20 01:49;
11;Jörn Dyck;81;4;74;74;2015-11-20 01:50;
11;ChepCon;502;4;74;74;2015-11-20 01:51;
11;hörthin;502;3;70;70;2015-11-20 01:52;
11;Lethal Combination;83;5;80;80;2015-11-20 01:53;
11;Beschnitten;84;3;70;70;2015-11-20 01:54;
11;berlin-rustikal;85;3;70;70;2015-11-20 01:55;
11;Gerhard.60;86;4;73;73;2015-11-20 01:56;
11;EmilSinclair73;87;4;71;71;2015-11-20 01:57;
11;duane;88;3;70;70;2015-11-20 01:58;
11;Johanna Meiermann;89;4;74;74;2015-11-20 01:59;
11;Meander6;90;2;69;69;2015-11-20 02:00;
11;keats;91;5;80;80;2015-11-20 02:01;
