Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text
29;klammer;1;1;1;9999;2016-11-24 17:33;
29;ebenrain;2;2;1;1;2016-11-24 17:33;
29;klammer;3;3;2;2;2016-11-24 21:32;
29;realo-Paule;4;1;4;9999;2016-11-24 17:33;
29;civis42;5;1;5;9999;2016-11-24 17:41;
29;Flutsch15;6;2;5;5;2016-11-24 17:41;
29;kostenlos;7;2;5;5;2016-11-24 17:41;
29;civis42;8;3;6;6;2016-11-24 18:02;
29;civis42;9;3;7;7;2016-11-24 19:15;
29;ebenrain;10;4;8;8;2016-11-24 19:24;
29;ebenrain;11;4;9;9;2016-11-24 19:45;
29;civis42;12;5;10;10;2016-11-24 21:24;
29;ford_perfect;13;3;6;6;2016-11-24 18:02;
29;uewmohrmann;14;4;13;13;2016-11-25 12:09;
29;civis42;15;1;15;9999;2016-11-24 18:00;
29;uwemohrmann;16;1;16;9999;2016-11-24 20:12;
29;ollisuko;17;1;17;9999;2016-11-25 09:59;
29;famd;18;1;18;9999;2016-12-06 12:45;
