Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;quality
27;Provo-Kant;1;1;1;9999;2015-11-20 00:30;7
27;h.w.benning;2;2;1;1;2015-11-20 00:31;0
27;herbert nau;3;2;1;1;2015-11-20 00:32;3
27;Nörgler;4;2;1;1;2015-11-20 00:33;0
27;Ulrich S.;5;2;1;1;2015-11-20 00:34;0
27;ruggero;6;2;1;1;2015-11-20 00:35;-7
27;Propter-Hoc;7;3;2;2;2015-11-20 00:36;7
27;Provo-Kant;8;3;6;6;2015-11-20 00:37;1
27;Cherrmann;9;3;6;6;2015-11-20 00:38;3
27;Cherrmann;10;3;6;6;2015-11-20 00:39;7
27;Provo-Kant;11;4;7;7;2015-11-20 00:40;1
27;gnaddrig;12;3;5;5;2015-11-20 00:41;0
27;Zifix;13;4;12;12;2015-11-20 00:42;0
27;makke14;14;3;4;4;2015-11-20 00:43;7
27;Beeeeerliner;15;2;1;1;2015-11-20 00:44;0
27;Alles für die Katz;16;2;1;1;2015-11-20 00:45;14
27;Kuttich;17;3;6;6;2015-11-20 00:46;7
27;gnaddrig;18;5;13;13;2015-11-20 00:47;1
27;schmoddermonster;19;3;6;6;2015-11-20 00:48;10
27;nebbia;20;4;17;17;2015-11-20 00:49;3
27;Sollbruchstellensucher;21;3;6;6;2015-11-20 00:50;7
27;Tsme;22;5;11;11;2015-11-20 00:43;8
27;M.Kalt;23;3;5;5;2015-11-20 00:52;14
27;Billy the Kid;24;1;24;9999;2015-11-20 00:53;14
27;Tar a Ri;25;2;24;24;2015-11-20 00:54;7
27;Nannyjournalismus;26;2;24;24;2015-11-20 00:55;0
27;andrerae;27;2;24;24;2015-11-20 00:56;7
27;doitnow;28;3;25;25;2015-11-20 00:57;7
27;Pflegehinweise für Kaninchen.;29;3;26;26;2015-11-20 00:58;3
27;Mannfred42;30;4;28;28;2015-11-20 00:59;15
27;derdudea;31;4;29;29;2015-11-20 01:00;-4
27;makke14;32;5;31;31;2015-11-20 01:01;3
27;makke14;33;5;31;31;2015-11-20 01:02;10
27;Galapagos 12;34;4;28;28;2015-11-20 01:03;14
27;nebbia;35;4;29;29;2015-11-20 01:04;1
27;Fila12;36;6;33;33;2015-11-20 01:05;3
27;makke14;37;7;36;36;2015-11-20 01:06;1
27;mana14;38;2;24;24;2015-11-20 01:07;-6
27;MitoffenenAugen;39;1;39;9999;2015-11-20 01:08;7
27;Hortein;40;2;39;39;2015-11-20 01:09;0
27;Super_Kluk;41;3;40;40;2015-11-20 01:10;7
27;Peter G.;42;2;39;39;2015-11-20 01:11;14
27;konib;43;3;40;40;2015-11-20 01:12;7
27;Peter G.;44;3;40;40;2015-11-20 01:13;3
27;GrafRotz;45;4;43;43;2015-11-20 01:14;18
27;Super_Kluk;46;5;45;45;2015-11-20 01:15;10
27;konib;47;5;45;45;2015-11-20 01:16;3
27;Fee07;48;2;39;39;2015-11-20 01:17;3
27;skull5700;49;5;45;45;2015-11-20 01:18;7
27;GrafRotz;50;6;46;46;2015-11-20 01:19;18
27;GrafRotz;51;6;46;46;2015-11-20 01:20;18
27;Haagen;52;4;43;43;2015-11-20 01:21;7
27;Super_Kluk;53;7;50;50;2015-11-20 01:22;17
27;GrafRotz;54;8;53;53;2015-11-20 01:23;3
27;Super_Kluk;55;5;52;52;2015-11-20 01:24;3
