Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;quality
19;Kritischer_Geist;1;1;1;9999;2015-11-20 00:30;14
19;ddv;2;1;2;9999;2015-11-20 00:31;14
19;Hannsi;3;2;2;2;2015-11-20 00:32;7
19;WalkerKool;4;3;3;3;2015-11-20 00:33;8
19;nepperini;5;2;2;2;2015-11-20 00:34;8
19;Dann eben ohne sie;6;2;2;2;2015-11-20 00:35;0
19;dedie;7;3;6;6;2015-11-20 00:36;0
19;Gemeindeplag;8;3;6;6;2015-11-20 00:37;8
19;Niederländer;9;4;8;8;2015-11-20 00:38;1
19;steff;10;5;9;9;2015-11-20 00:39;8
19;Niederländer;11;6;10;10;2015-11-20 00:40;1
19;Das ganze Zeug muss weg;12;5;9;9;2015-11-20 00:41;1
19;Greyhound;13;3;6;6;2015-11-20 00:42;0
19;Patrick;14;3;6;6;2015-11-20 00:43;-6
19;Sauerbier;15;4;14;14;2015-11-20 00:44;3
19;Arbeitender Familienvater;16;3;6;6;2015-11-20 00:45;0
19;Albert Pike;17;2;2;2;2015-11-20 00:46;-6
19;PatrickR;18;2;2;2;2015-11-20 00:47;1
19;Herbert Frahm jr.;19;2;2;2;2015-11-20 00:48;-6
19;dentix07;20;2;2;2;2015-11-20 00:49;1
19;Wahrheitistnichtverhandelbar!;21;2;2;2;2015-11-20 00:50;1
19;Wolleus;22;2;2;2;2015-11-20 00:51;1
19;Aik Müller;23;2;2;2;2015-11-20 00:52;8
19;Susi30;24;2;2;2;2015-11-20 00:53;0
19;Herbert;25;2;2;2;2015-11-20 00:54;0
19;Bin Direkt;26;2;2;2;2015-11-20 00:55;0
19;Wahrheitistnichtverhandelbar!;27;2;2;2;2015-11-20 00:56;1
19;Kritischer_Geist;28;1;28;9999;2015-11-20 00:57;7
19;U.K.;29;1;29;9999;2015-11-20 00:58;7
19;Steuerzahler;30;2;29;29;2015-11-20 00:59;3
19;Hertha S. Innlos;31;2;29;29;2015-11-20 01:00;1
19;Bananensalat;32;2;29;29;2015-11-20 01:01;3
19;was gibt's da zu überlegen?;33;3;32;32;2015-11-20 01:02;0
19;Postman23;34;4;33;33;2015-11-20 01:03;10
19;Der Realist;35;4;33;33;2015-11-20 01:04;7
19;Bernd;36;5;35;35;2015-11-20 01:05;7
19;Demokratolügie;37;5;35;35;2015-11-20 01:06;10
19;Siggi50;38;5;35;35;2015-11-20 01:07;7
19;klar zur Wende!;39;5;35;35;2015-11-20 01:08;1
19;Itan;40;5;35;35;2015-11-20 01:09;7
19;Gast;41;5;35;35;2015-11-20 01:10;7
19;FreierFranke;42;3;32;32;2015-11-20 01:11;0
19;Frank-Holger Kuhn;43;2;29;29;2015-11-20 01:12;10
19;Julia_1;44;3;43;43;2015-11-20 01:13;3
19;Paule;45;2;29;29;2015-11-20 01:14;1
19;Südhess;46;2;29;29;2015-11-20 01:15;1
19;frederike;47;1;47;9999;2015-11-20 01:16;7
19;Carl;48;2;47;47;2015-11-20 01:17;1
19;wassolldasjetztschonwieder;49;2;47;47;2015-11-20 01:18;8
19;Gabi;50;1;50;9999;2015-11-20 01:19;0
19;peter Kokot;51;2;50;50;2015-11-20 01:20;0
19;Michael M.;52;3;51;51;2015-11-20 01:21;8
19;Gast;53;3;51;51;2015-11-20 01:22;3
19;der schöne Karl;54;3;51;51;2015-11-20 01:23;7
19;Helmuth;55;4;54;54;2015-11-20 01:24;7
19;Julia_1;56;4;54;54;2015-11-20 01:25;1
19;sandrakas;57;3;51;51;2015-11-20 01:26;7
19;Margot Helmers;58;2;50;50;2015-11-20 01:27;1
19;Hail..lali;59;2;50;50;2015-11-20 01:28;0
19;sandrakas;60;2;50;50;2015-11-20 01:29;1
19;RudiRatlos;61;2;50;50;2015-11-20 01:30;0
19;Dr. von Hinten;62;2;50;50;2015-11-20 01:31;0
19;Claudia;63;2;50;50;2015-11-20 01:32;-7
19;Trolljäger;64;3;63;63;2015-11-20 01:33;18
19;Südstaatler;65;1;65;9999;2015-11-20 01:34;14
19;RudiRatlos;66;2;65;65;2015-11-20 01:35;1
19;der schöne Karl;67;2;65;65;2015-11-20 01:36;1
19;Helmuth;68;2;65;65;2015-11-20 01:37;8
19;pumo18;69;2;65;65;2015-11-20 01:38;15
19;Blumenfreund is here;70;1;70;9999;2015-11-20 01:39;7
19;Steffen Hebenstreit;71;1;71;9999;2015-11-20 01:40;7
19;Gast;72;1;72;9999;2015-11-20 01:41;7
19;CH3-CH2-OH;73;1;73;9999;2015-11-20 01:42;14
19;Carl;74;2;73;73;2015-11-20 01:43;3
19;Markus S. Öder;75;2;73;73;2015-11-20 01:44;1
19;Menschenfreund;76;1;76;9999;2015-11-20 01:45;7
19;Postman23;77;2;76;76;2015-11-20 01:46;1
19;;78;1;78;9999;2015-11-20 01:47;7
19;Frank-Holger Kuhn;79;2;78;78;2015-11-20 01:48;0
19;Steuerzahler;80;3;79;79;2015-11-20 01:49;7
19;Anglo_Saxon_Broadsworld;81;3;79;79;2015-11-20 01:50;3
19;Anglo_Saxon_Broadsworld;82;2;78;78;2015-11-20 01:51;3
19;wolkenharry;83;1;83;9999;2015-11-20 01:52;14
19;ColeBalthazar;84;2;83;83;2015-11-20 01:53;8
19;Cyranoelle;85;2;83;83;2015-11-20 01:54;1
19;Holy;86;1;86;9999;2015-11-20 01:55;14
19;KatzenStreu;87;1;87;9999;2015-11-20 01:56;14
19;chlorine chicken says hello;88;1;88;9999;2015-11-20 01:57;7
19;Michael M.;89;1;89;9999;2015-11-20 01:58;7
19;ExCSUWaehler;90;1;90;9999;2015-11-20 01:59;7
19;Postman23;91;1;91;9999;2015-11-20 02:00;7
19;Michael M.;92;1;92;9999;2015-11-20 02:01;14
19;Albert Werner;93;1;93;9999;2015-11-20 02:02;14
19;sweetjasmin;94;2;93;93;2015-11-20 02:03;8
19;Itan;95;2;93;93;2015-11-20 02:04;8
19;Silke Huber;96;1;96;9999;2015-11-20 02:05;14
19;Gerhard 59;97;1;97;9999;2015-11-20 02:06;7
19;Mephisto;98;2;97;97;2015-11-20 02:07;1
19;Uwe Adamiak;99;1;99;9999;2015-11-20 02:08;7
19;Puttchen Brammel;100;2;99;99;2015-11-20 02:09;-6
19;;101;1;101;9999;2015-11-20 02:10;7
19;Gast5;102;2;101;101;2015-11-20 02:11;0
19;Rita Hoffmann;103;1;103;9999;2015-11-20 02:12;7
19;Julia_1;104;2;103;103;2015-11-20 02:13;0
