Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text
5;Mischa;1;1;1;9999;2015-11-20 19:36;
5;bausa;2;1;2;9999;2015-11-20 19:47;
5;ulli7;3;1;3;9999;2015-11-20 19:54;
5;günterjoachim;4;1;4;9999;2015-11-20 19:57;
5;harry009;5;1;5;9999;2015-11-20 20:11;
5;prologo;6;2;3;3;2015-11-20 19:54;
5;grilo;7;1;7;9999;2015-11-20 20:11;
5;Erothronium2;8;1;8;9999;2015-11-20 20:14;
5;balotelli;9;1;9;9999;2015-11-20 20:19;
5;müller1;11;1;11;9999;2015-11-20 20:20;
5;m.breitkopf;12;1;12;9999;2015-11-20 20:20;
5;wecan;13;1;13;9999;2015-11-20 20:23;
5;yadi;14;1;14;9999;2015-11-20 20:27;
5;EraserFS;15;1;15;9999;2015-11-20 20:28;
5;ocelot99;16;1;16;9999;2015-11-20 20:29;
5;thomas bode;17;1;17;9999;2015-11-20 20:29;
5;dirk1962;18;1;18;9999;2015-11-20 20:32;
5;in-teressant!;19;1;19;9999;2015-11-20 20:37;
5;mitt66jahren;20;1;20;9999;2015-11-20 20:40;
5;karend;21;2;1;1;2015-11-20 19:36;
5;Dr. Kilad;22;1;22;9999;2015-11-20 20:43;
5;mue3333;23;1;23;9999;2015-11-20 20:44;
5;vnv_muc;24;1;24;9999;2015-11-20 20:44;
5;politisch_nicht_korrekt;25;1;25;9999;2015-11-20 20:45;
5;ulrich g;26;1;26;9999;2015-11-20 20:50;
5;Liberalitärer;27;1;27;9999;2015-11-20 20:50;
5;freizeitverkaeufer;28;1;28;9999;2015-11-20 20:54;
5;mirror999999999;29;1;29;9999;2015-11-20 20:56;
5;tolate;30;1;30;9999;2015-11-20 20:56;
5;zitzewitz;31;1;31;9999;2015-11-20 20:59;
5;csapo-f;32;1;32;9999;2015-11-20 21:00;
5;deckergs;33;2;3;3;2015-11-20 19:54;
5;kuac;34;2;17;17;2015-11-20 20:29;
5;braindead0815;35;1;35;9999;2015-11-20 21:09;
5;sotomajor;36;1;36;9999;2015-11-20 21:10;
5;balouchen;37;1;37;9999;2015-11-20 21:13;
5;dirk1962;38;1;38;9999;2015-11-20 21:14;
5;powerofsky;39;1;39;9999;2015-11-20 21:18;
5;deckergs;40;2;15;15;2015-11-20 20:28;
5;ssommerf;41;1;41;9999;2015-11-20 21:19;
5;ocelot99;42;2;7;7;2015-11-20 21:11;
5;Liberalitärer;43;2;32;32;2015-11-20 21:00;
5;amdorf;44;1;44;9999;2015-11-20 20:27;
5;andreasf3344;45;1;45;9999;2015-11-20 20:28;
5;tomymind;46;2;13;13;2015-11-20 20:23;
5;Emil Peisker;47;2;38;38;2015-11-20 21:14;
