Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text
18;Zuhlke;1;1;1;9999;2015-11-20 00:30;
18;BesorgterRealist;2;2;1;1;2015-11-20 00:31;
18;Zuhlke;3;3;2;2;2015-11-20 00:32;
18;Y_IIIII;4;4;3;3;2015-11-20 00:33;
18;soeren roth;5;2;1;1;2015-11-20 00:34;
18;Mampf22;6;3;2;2;2015-11-20 00:35;
18;verlogen;7;4;6;6;2015-11-20 00:36;
18;BarbeQ;8;3;5;5;2015-11-20 00:37;
18;-Palomino-;9;4;6;6;2015-11-20 00:38;
18;Queensland_;10;5;4;4;2015-11-20 00:39;
18;Wolf Karl;11;5;4;4;2015-11-20 00:40;
18;soeren roth;12;4;8;8;2015-11-20 00:41;
18;Konfusius II;1301;6;10;10;2015-11-20 00:42;
18;Y_IIIII;1302;6;11;11;2015-11-20 00:43;
18;Marcus Aurelius;14;1;14;9999;2015-11-20 00:44;
18;Mr. Corby;15;1;15;9999;2015-11-20 00:45;
18;Rob Schuberth;16;2;15;15;2015-11-20 00:46;
18;Saralyan;17;2;15;15;2015-11-20 00:47;
18;arnster;18;2;15;15;2015-11-20 00:48;
18;Margot Melzer;19;2;15;15;2015-11-20 00:49;
18;soeren roth;20;2;15;15;2015-11-20 00:50;
18;BarbeQ;21;2;15;15;2015-11-20 00:51;
18;Dreandas;22;3;16;16;2015-11-20 00:52;
18;Rob Schuberth;23;3;17;17;2015-11-20 00:53;
18;Freiheit2016;24;1;24;9999;2015-11-20 00:54;
18;Quadrat;25;1;25;9999;2015-11-20 00:55;
18;Grabthars Hammer;26;2;25;25;2015-11-20 00:56;
18;Garfield1;27;2;25;25;2015-11-20 00:57;
18;Quadrat;28;3;27;27;2015-11-20 00:58;
18;Jörn Dyck;29;2;25;25;2015-11-20 00:59;
18;Quadrat;30;3;29;29;2015-11-20 01:00;
18;Derdersbesserweiß;31;3;27;27;2015-11-20 01:01;
18;Jörn Dyck;32;4;30;30;2015-11-20 01:02;
18;Konfusius II;33;2;25;25;2015-11-20 01:03;
18;Throatwobbler Mangrove;34;1;34;9999;2015-11-20 01:04;
18;Immer Bandsalat;35;2;34;34;2015-11-20 01:05;
18;Bürger Deutschlands 3.0;36;1;36;9999;2015-11-20 01:06;
18;Qwert1133;37;2;36;36;2015-11-20 01:07;
18;Jörn Dyck;38;2;36;36;2015-11-20 01:08;
18;Derdersbesserweiß;39;3;37;37;2015-11-20 01:09;
18;Nivarius;40;1;40;9999;2015-11-20 01:10;
18;hobelixx;41;2;40;40;2015-11-20 01:11;
18;Paulus80;42;2;40;40;2015-11-20 01:12;
18;Ben2015;43;2;40;40;2015-11-20 01:13;
18;RomyausC;44;3;41;41;2015-11-20 01:14;
18;contra malum;45;1;45;9999;2015-11-20 01:15;
18;Atomare Partybombe;46;1;46;9999;2015-11-20 01:16;
18;eschwenk;47;2;46;46;2015-11-20 01:17;
