Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text
3;Silvia Wittek;1;1;1;9999;2015-11-20 15:20;
3;Doris Mallon;2;1;2;9999;2015-11-20 15:21;
3;Georg Henzler;3;1;3;9999;2015-11-20 15:22;
3;michael koch;4;1;4;9999;2015-11-20 15:23;
3;Rudolf Berger;5;1;5;9999;2015-11-20 15:24;
3;Christian Bauer;6;1;6;9999;2015-11-20 15:25;
3;Rolando Hoermann;7;1;7;9999;2015-11-20 15:26;
3;Hans Meyers;8;1;8;9999;2015-11-20 15:27;
3;Maria Haumann;9;1;9;9999;2015-11-20 15:28;
3;otto flamminger;10;1;10;9999;2015-11-20 15:29;
3;Christof Kochanowski;11;1;11;9999;2015-11-20 15:30;
3;Michael Schultz;12;1;12;9999;2015-11-20 15:31;
3;Oliver Hermann;13;1;13;9999;2015-11-20 15:32;
3;Bärbel Wagner;14;1;14;9999;2015-11-20 15:33;
3;Hannelore Scheidl-Irion;15;1;15;9999;2015-11-20 15:34;
3;Davidson Archy;16;1;16;9999;2015-11-20 15:35;
3;Udo Löser;17;1;17;9999;2015-11-20 15:36;
3;Günter Kuhn;18;1;18;9999;2015-11-20 15:37;
3;Ullrich Werner;19;1;19;9999;2015-11-20 15:38;
3;Waltraud Netwall;20;1;20;9999;2015-11-20 15:39;
3;Brigitte Bücker-Biering;21;1;21;9999;2015-11-20 15:40;
3;Dieter Schmeer;22;1;22;9999;2015-11-20 15:41;
3;Hans Moser;23;1;23;9999;2015-11-20 15:42;
3;Martin Tielmann;24;1;24;9999;2015-11-20 15:43;
3;Guenter Traumann;241;2;24;24;2015-11-20 15:44;
3;Johannes Walfort;25;1;25;9999;2015-11-20 15:45;
3;Robert Hillmann;26;1;26;9999;2015-11-20 15:46;
3;Mathias Wagener;27;1;27;9999;2015-11-20 15:47;
3;Guenter Traumann;271;2;27;27;2015-11-20 15:48;
3;Jörg Berger;28;1;28;9999;2015-11-20 15:49;
3;Dirk Sokollis;29;1;29;9999;2015-11-20 15:50;
3;Fatima Müller;30;1;30;9999;2015-11-20 15:51;
3;Joachim Scholz-Ebner;31;1;31;9999;2015-11-20 15:52;
